> df.summary 
           subforum cluster motif  mean.prob
181 TwoXChromosomes       3     1 0.17666667
182 TwoXChromosomes       3     2 0.17333333
183 TwoXChromosomes       3     3 0.31000000
184 TwoXChromosomes       3     4 0.20777778
185 TwoXChromosomes       3     5 0.04222222
186 TwoXChromosomes       3     6 0.08333333
187 TwoXChromosomes       3     7 0.01000000
188 TwoXChromosomes       3     8 0.01000000
189 TwoXChromosomes       3     9 0.01000000
190 TwoXChromosomes       3    14 0.01000000
